"ID","lon","lat"
"g1",-102.0666667,20.16666667
"g1",-101.9333333,20.1
"g1",-101.4833333,20.08333333
"g1",-102.0333333,20.16666667
"g1",-101.4833333,20.08333333
"g1",-101.4666667,20.03333333
"g1",-101.2333333,20.05
"g1",-101.1833333,20.06666667
"g1",-101.15,20
"g1",-101.2833333,19.98333333
"g1",-102.1,20.15
"g1",-102.0333333,20.18333333
"g1",-102.0833333,20.15
"g1",-101.45,20.11666667
"g1",-101.15,20.01666667
"g1",-101.9333333,20.1
"g1",-101.1666667,20.15
"g1",-102.1,20.2
"g1",-102.0833333,20.16666667
"g1",-102.05,20.15
"g1",-101.1666667,20.15
"g1",-101.1775,20.05416667
"g1",-101.2891667,19.99416667
"g1",-101.4694444,20.18944444
"g1",-101.9477778,20.24
"g1",-101.1575,20.02638889
"g1",-101.17,20.02416667
"g1",-101.4344444,20.09555556
"g1",-101.4344444,20.09555556
"g1",-101.2025,19.97166667
"g1",-102.0869444,20.16083333
"g1",-102.0875,20.14055556
"g1",-102.0875,20.14055556
"g1",-101.9591667,20.11194444
"g1",-102.0684444444,20.1393888889
"g1",-102.37,20.17
"g1",-101.4341666667,20.1338055556
"g1",-101.49,20.11
"g1",-100.8848888889,19.9917222222
"g1",-100.8496666667,19.9581944444
"g1",-100.9599166667,19.9828055556
"g1",-101.0881111111,20.0531944444
"g1",-101.3730833333,20.1607222222
"g1",-101.2354166667,19.9646111111
"g1",-102.0898333333,20.7195555556
"g1",-102.0684444444,20.1393888889
"g1",-102.37,20.17
"g1",-101.4341666667,20.1338055556
"g1",-101.49,20.11
"g1",-100.8848888889,19.9917222222
"g1",-100.8496666667,19.9581944444
"g1",-100.9599166667,19.9828055556
"g1",-101.0881111111,20.0531944444
"g1",-101.3730833333,20.1607222222
"g1",-101.2354166667,19.9646111111
"g1",-102.0898333333,20.7195555556
"g2",-98.88333333,19.25
"g2",-98.85,19.25
"g2",-98.78333333,19.16666667
"g2",-98.76666667,19.13333333
"g2",-98.76666667,19.16666667
"g2",-98.86666667,19.15
"g2",-98.88333333,19.35
"g2",-98.88333333,19.25
"g2",-98.88333333,19.18333333
"g2",-98.91666667,19.5
"g2",-98.98333333,19.36666667
"g2",-99.46666667,19.26666667
"g2",-99.46666667,19.2
"g2",-98.88333333,19.25
"g2",-98.33333333,19.2
"g2",-99.66666667,19.33333333
"g2",-99.76666667,19.3
"g2",-99.68333333,19.25
"g2",-99.55,19.2
"g2",-98.76666667,19.11666667
"g2",-98.86666667,19.21666667
"g2",-98.85,19.13333333
"g2",-98.86666667,19.18333333
"g2",-99.58333333,19.21666667
"g2",-98.8,19.2
"g2",-98.76666667,19.13333333
"g2",-98.85,19.25
"g2",-101.6,19.41666667
"g2",-98.49083333,19.08666667
"g2",-98.86861111,19.2175
"g2",-98.87166667,19.1875
"g2",-98.75694444,19.1125
"g2",-98.77472222,19.155
"g2",-98.83416667,19.2325
"g2",-98.92083333,19.49472222
"g2",-98.92111111,19.49138889
"g2",-98.75777778,19.12333333
"g2",-98.83444444,19.21777778
"g2",-98.85916667,19.22583333
"g2",-98.87944444,19.20944444
"g2",-98.82305556,19.1325
"g2",-98.85472222,19.13833333
"g2",-98.89888889,19.22333333
"g2",-99.53638889,19.37416667
"g2",-99.475,19.3
"g2",-99.57444444,19.14111111
"g2",-99.61694444,19.15638889
"g2",-99.55666667,19.20055556
"g2",-99.58472222,19.20555556
"g2",-99.53861111,19.25166667
"g2",-99.54027778,19.22638889
"g2",-99.60083333,19.35444444
"g2",-99.58527778,19.34055556
"g2",-99.58583333,19.33194444
"g2",-99.57361111,19.32666667
"g2",-99.73333333,19.49166667
"g2",-99.78027778,19.30944444
"g2",-99.67027778,19.34416667
"g2",-99.46694444,19.21972222
"g2",-99.47611111,19.195
"g2",-99.56583333,19.20361111
"g2",-99.58972222,19.21388889
"g2",-99.60472222,19.25111111
"g2",-99.57472222,19.15888889
"g2",-98.33527778,19.19777778
"g2",-98.34722222,19.20666667
"g2",-98.86194444,19.23333333
"g2",-98.86138889,19.14555556
"g2",-98.86944444,19.11805556
"g2",-98.79944444,19.20305556
"g2",-98.78388889,19.20694444
"g2",-98.81111111,19.21611111
"g2",-98.86833333,19.24611111
"g2",-99.60416667,19.35305556
"g2",-99.58222222,19.34111111
"g2",-99.67611111,19.34611111
"g2",-99.77638889,19.31222222
"g2",-99.69083333,19.25638889
"g2",-99.48944444,19.28083333
"g2",-99.46694444,19.25777778
"g2",-99.5675,19.20333333
"g2",-99.58583333,19.2025
"g2",-99.58666667,19.14611111
"g2",-98.4874444444,19.0838888889
"g2",-98.8661388889,19.22625
"g2",-100.64,19.68
"g2",-101.61,19.42
"g2",-98.1854166667,19.1594722222
"g2",-98.49,19.09
"g2",-101.64,19.42
"g2",-98.8637222222,19.1397777778
"g2",-99.59,19.12
"g2",-98.9146111111,19.5025277778
"g2",-99.6270555556,19.4074722222
"g2",-99.08,19.29
"all",-102.0666667,20.16666667
"all",-101.9333333,20.1
"all",-101.4833333,20.08333333
"all",-102.0333333,20.16666667
"all",-101.4833333,20.08333333
"all",-101.4666667,20.03333333
"all",-101.2333333,20.05
"all",-101.1833333,20.06666667
"all",-101.15,20
"all",-101.2833333,19.98333333
"all",-102.1,20.15
"all",-102.0333333,20.18333333
"all",-102.0833333,20.15
"all",-101.45,20.11666667
"all",-101.15,20.01666667
"all",-101.9333333,20.1
"all",-101.1666667,20.15
"all",-102.1,20.2
"all",-102.0833333,20.16666667
"all",-102.05,20.15
"all",-101.1666667,20.15
"all",-101.1775,20.05416667
"all",-101.2891667,19.99416667
"all",-101.4694444,20.18944444
"all",-101.9477778,20.24
"all",-101.1575,20.02638889
"all",-101.17,20.02416667
"all",-101.4344444,20.09555556
"all",-101.4344444,20.09555556
"all",-101.2025,19.97166667
"all",-102.0869444,20.16083333
"all",-102.0875,20.14055556
"all",-102.0875,20.14055556
"all",-101.9591667,20.11194444
"all",-102.0684444444,20.1393888889
"all",-102.37,20.17
"all",-101.4341666667,20.1338055556
"all",-101.49,20.11
"all",-100.8848888889,19.9917222222
"all",-100.8496666667,19.9581944444
"all",-100.9599166667,19.9828055556
"all",-101.0881111111,20.0531944444
"all",-101.3730833333,20.1607222222
"all",-101.2354166667,19.9646111111
"all",-102.0898333333,20.7195555556
"all",-102.0684444444,20.1393888889
"all",-102.37,20.17
"all",-101.4341666667,20.1338055556
"all",-101.49,20.11
"all",-100.8848888889,19.9917222222
"all",-100.8496666667,19.9581944444
"all",-100.9599166667,19.9828055556
"all",-101.0881111111,20.0531944444
"all",-101.3730833333,20.1607222222
"all",-101.2354166667,19.9646111111
"all",-102.0898333333,20.7195555556
"all",-98.88333333,19.25
"all",-98.85,19.25
"all",-98.78333333,19.16666667
"all",-98.76666667,19.13333333
"all",-98.76666667,19.16666667
"all",-98.86666667,19.15
"all",-98.88333333,19.35
"all",-98.88333333,19.25
"all",-98.88333333,19.18333333
"all",-98.91666667,19.5
"all",-98.98333333,19.36666667
"all",-99.46666667,19.26666667
"all",-99.46666667,19.2
"all",-98.88333333,19.25
"all",-98.33333333,19.2
"all",-99.66666667,19.33333333
"all",-99.76666667,19.3
"all",-99.68333333,19.25
"all",-99.55,19.2
"all",-98.76666667,19.11666667
"all",-98.86666667,19.21666667
"all",-98.85,19.13333333
"all",-98.86666667,19.18333333
"all",-99.58333333,19.21666667
"all",-98.8,19.2
"all",-98.76666667,19.13333333
"all",-98.85,19.25
"all",-101.6,19.41666667
"all",-98.49083333,19.08666667
"all",-98.86861111,19.2175
"all",-98.87166667,19.1875
"all",-98.75694444,19.1125
"all",-98.77472222,19.155
"all",-98.83416667,19.2325
"all",-98.92083333,19.49472222
"all",-98.92111111,19.49138889
"all",-98.75777778,19.12333333
"all",-98.83444444,19.21777778
"all",-98.85916667,19.22583333
"all",-98.87944444,19.20944444
"all",-98.82305556,19.1325
"all",-98.85472222,19.13833333
"all",-98.89888889,19.22333333
"all",-99.53638889,19.37416667
"all",-99.475,19.3
"all",-99.57444444,19.14111111
"all",-99.61694444,19.15638889
"all",-99.55666667,19.20055556
"all",-99.58472222,19.20555556
"all",-99.53861111,19.25166667
"all",-99.54027778,19.22638889
"all",-99.60083333,19.35444444
"all",-99.58527778,19.34055556
"all",-99.58583333,19.33194444
"all",-99.57361111,19.32666667
"all",-99.73333333,19.49166667
"all",-99.78027778,19.30944444
"all",-99.67027778,19.34416667
"all",-99.46694444,19.21972222
"all",-99.47611111,19.195
"all",-99.56583333,19.20361111
"all",-99.58972222,19.21388889
"all",-99.60472222,19.25111111
"all",-99.57472222,19.15888889
"all",-98.33527778,19.19777778
"all",-98.34722222,19.20666667
"all",-98.86194444,19.23333333
"all",-98.86138889,19.14555556
"all",-98.86944444,19.11805556
"all",-98.79944444,19.20305556
"all",-98.78388889,19.20694444
"all",-98.81111111,19.21611111
"all",-98.86833333,19.24611111
"all",-99.60416667,19.35305556
"all",-99.58222222,19.34111111
"all",-99.67611111,19.34611111
"all",-99.77638889,19.31222222
"all",-99.69083333,19.25638889
"all",-99.48944444,19.28083333
"all",-99.46694444,19.25777778
"all",-99.5675,19.20333333
"all",-99.58583333,19.2025
"all",-99.58666667,19.14611111
"all",-98.4874444444,19.0838888889
"all",-98.8661388889,19.22625
"all",-100.64,19.68
"all",-101.61,19.42
"all",-98.1854166667,19.1594722222
"all",-98.49,19.09
"all",-101.64,19.42
"all",-98.8637222222,19.1397777778
"all",-99.59,19.12
"all",-98.9146111111,19.5025277778
"all",-99.6270555556,19.4074722222
"all",-99.08,19.29
"all",-102.0666667,20.16666667
"all",-101.9333333,20.1
"all",-101.4833333,20.08333333
"all",-102.0333333,20.16666667
"all",-101.4833333,20.08333333
"all",-101.4666667,20.03333333
"all",-101.2333333,20.05
"all",-101.1833333,20.06666667
"all",-101.15,20
"all",-101.2833333,19.98333333
"all",-102.1,20.15
"all",-102.0333333,20.18333333
"all",-102.0833333,20.15
"all",-101.45,20.11666667
"all",-101.15,20.01666667
"all",-101.9333333,20.1
"all",-101.1666667,20.15
"all",-102.1,20.2
"all",-102.0833333,20.16666667
"all",-102.05,20.15
"all",-101.1666667,20.15
"all",-101.1775,20.05416667
"all",-101.2891667,19.99416667
"all",-101.4694444,20.18944444
"all",-101.9477778,20.24
"all",-101.1575,20.02638889
"all",-101.17,20.02416667
"all",-101.4344444,20.09555556
"all",-101.4344444,20.09555556
"all",-101.2025,19.97166667
"all",-102.0869444,20.16083333
"all",-102.0875,20.14055556
"all",-102.0875,20.14055556
"all",-101.9591667,20.11194444
"all",-102.0684444444,20.1393888889
"all",-102.37,20.17
"all",-101.4341666667,20.1338055556
"all",-101.49,20.11
"all",-100.8848888889,19.9917222222
"all",-100.8496666667,19.9581944444
"all",-100.9599166667,19.9828055556
"all",-101.0881111111,20.0531944444
"all",-101.3730833333,20.1607222222
"all",-101.2354166667,19.9646111111
"all",-102.0898333333,20.7195555556
"all",-102.0684444444,20.1393888889
"all",-102.37,20.17
"all",-101.4341666667,20.1338055556
"all",-101.49,20.11
"all",-100.8848888889,19.9917222222
"all",-100.8496666667,19.9581944444
"all",-100.9599166667,19.9828055556
"all",-101.0881111111,20.0531944444
"all",-101.3730833333,20.1607222222
"all",-101.2354166667,19.9646111111
"all",-102.0898333333,20.7195555556
"all",-98.88333333,19.25
"all",-98.85,19.25
"all",-98.78333333,19.16666667
"all",-98.76666667,19.13333333
"all",-98.76666667,19.16666667
"all",-98.86666667,19.15
"all",-98.88333333,19.35
"all",-98.88333333,19.25
"all",-98.88333333,19.18333333
"all",-98.91666667,19.5
"all",-98.98333333,19.36666667
"all",-99.46666667,19.26666667
"all",-99.46666667,19.2
"all",-98.88333333,19.25
"all",-98.33333333,19.2
"all",-99.66666667,19.33333333
"all",-99.76666667,19.3
"all",-99.68333333,19.25
"all",-99.55,19.2
"all",-98.76666667,19.11666667
"all",-98.86666667,19.21666667
"all",-98.85,19.13333333
"all",-98.86666667,19.18333333
"all",-99.58333333,19.21666667
"all",-98.8,19.2
"all",-98.76666667,19.13333333
"all",-98.85,19.25
"all",-101.6,19.41666667
"all",-98.49083333,19.08666667
"all",-98.86861111,19.2175
"all",-98.87166667,19.1875
"all",-98.75694444,19.1125
"all",-98.77472222,19.155
"all",-98.83416667,19.2325
"all",-98.92083333,19.49472222
"all",-98.92111111,19.49138889
"all",-98.75777778,19.12333333
"all",-98.83444444,19.21777778
"all",-98.85916667,19.22583333
"all",-98.87944444,19.20944444
"all",-98.82305556,19.1325
"all",-98.85472222,19.13833333
"all",-98.89888889,19.22333333
"all",-99.53638889,19.37416667
"all",-99.475,19.3
"all",-99.57444444,19.14111111
"all",-99.61694444,19.15638889
"all",-99.55666667,19.20055556
"all",-99.58472222,19.20555556
"all",-99.53861111,19.25166667
"all",-99.54027778,19.22638889
"all",-99.60083333,19.35444444
"all",-99.58527778,19.34055556
"all",-99.58583333,19.33194444
"all",-99.57361111,19.32666667
"all",-99.73333333,19.49166667
"all",-99.78027778,19.30944444
"all",-99.67027778,19.34416667
"all",-99.46694444,19.21972222
"all",-99.47611111,19.195
"all",-99.56583333,19.20361111
"all",-99.58972222,19.21388889
"all",-99.60472222,19.25111111
"all",-99.57472222,19.15888889
"all",-98.33527778,19.19777778
"all",-98.34722222,19.20666667
"all",-98.86194444,19.23333333
"all",-98.86138889,19.14555556
"all",-98.86944444,19.11805556
"all",-98.79944444,19.20305556
"all",-98.78388889,19.20694444
"all",-98.81111111,19.21611111
"all",-98.86833333,19.24611111
"all",-99.60416667,19.35305556
"all",-99.58222222,19.34111111
"all",-99.67611111,19.34611111
"all",-99.77638889,19.31222222
"all",-99.69083333,19.25638889
"all",-99.48944444,19.28083333
"all",-99.46694444,19.25777778
"all",-99.5675,19.20333333
"all",-99.58583333,19.2025
"all",-99.58666667,19.14611111
"all",-98.4874444444,19.0838888889
"all",-98.8661388889,19.22625
"all",-100.64,19.68
"all",-101.61,19.42
"all",-98.1854166667,19.1594722222
"all",-98.49,19.09
"all",-101.64,19.42
"all",-98.8637222222,19.1397777778
"all",-99.59,19.12
"all",-98.9146111111,19.5025277778
"all",-99.6270555556,19.4074722222
"all",-99.08,19.29
"all",-102.0666667,20.16666667
"all",-101.9333333,20.1
"all",-101.4833333,20.08333333
"all",-102.0333333,20.16666667
"all",-101.4833333,20.08333333
"all",-101.4666667,20.03333333
"all",-101.2333333,20.05
"all",-101.1833333,20.06666667
"all",-101.15,20
"all",-101.2833333,19.98333333
"all",-102.1,20.15
"all",-102.0333333,20.18333333
"all",-102.0833333,20.15
"all",-101.45,20.11666667
"all",-101.15,20.01666667
"all",-101.9333333,20.1
"all",-101.1666667,20.15
"all",-102.1,20.2
"all",-102.0833333,20.16666667
"all",-102.05,20.15
"all",-101.1666667,20.15
"all",-101.1775,20.05416667
"all",-101.2891667,19.99416667
"all",-101.4694444,20.18944444
"all",-101.9477778,20.24
"all",-101.1575,20.02638889
"all",-101.17,20.02416667
"all",-101.4344444,20.09555556
"all",-101.4344444,20.09555556
"all",-101.2025,19.97166667
"all",-102.0869444,20.16083333
"all",-102.0875,20.14055556
"all",-102.0875,20.14055556
"all",-101.9591667,20.11194444
"all",-102.0684444444,20.1393888889
"all",-102.37,20.17
"all",-101.4341666667,20.1338055556
"all",-101.49,20.11
"all",-100.8848888889,19.9917222222
"all",-100.8496666667,19.9581944444
"all",-100.9599166667,19.9828055556
"all",-101.0881111111,20.0531944444
"all",-101.3730833333,20.1607222222
"all",-101.2354166667,19.9646111111
"all",-102.0898333333,20.7195555556
"all",-102.0684444444,20.1393888889
"all",-102.37,20.17
"all",-101.4341666667,20.1338055556
"all",-101.49,20.11
"all",-100.8848888889,19.9917222222
"all",-100.8496666667,19.9581944444
"all",-100.9599166667,19.9828055556
"all",-101.0881111111,20.0531944444
"all",-101.3730833333,20.1607222222
"all",-101.2354166667,19.9646111111
"all",-102.0898333333,20.7195555556
"all",-98.88333333,19.25
"all",-98.85,19.25
"all",-98.78333333,19.16666667
"all",-98.76666667,19.13333333
"all",-98.76666667,19.16666667
"all",-98.86666667,19.15
"all",-98.88333333,19.35
"all",-98.88333333,19.25
"all",-98.88333333,19.18333333
"all",-98.91666667,19.5
"all",-98.98333333,19.36666667
"all",-99.46666667,19.26666667
"all",-99.46666667,19.2
"all",-98.88333333,19.25
"all",-98.33333333,19.2
"all",-99.66666667,19.33333333
"all",-99.76666667,19.3
"all",-99.68333333,19.25
"all",-99.55,19.2
"all",-98.76666667,19.11666667
"all",-98.86666667,19.21666667
"all",-98.85,19.13333333
"all",-98.86666667,19.18333333
"all",-99.58333333,19.21666667
"all",-98.8,19.2
"all",-98.76666667,19.13333333
"all",-98.85,19.25
"all",-101.6,19.41666667
"all",-98.49083333,19.08666667
"all",-98.86861111,19.2175
"all",-98.87166667,19.1875
"all",-98.75694444,19.1125
"all",-98.77472222,19.155
"all",-98.83416667,19.2325
"all",-98.92083333,19.49472222
"all",-98.92111111,19.49138889
"all",-98.75777778,19.12333333
"all",-98.83444444,19.21777778
"all",-98.85916667,19.22583333
"all",-98.87944444,19.20944444
"all",-98.82305556,19.1325
"all",-98.85472222,19.13833333
"all",-98.89888889,19.22333333
"all",-99.53638889,19.37416667
"all",-99.475,19.3
"all",-99.57444444,19.14111111
"all",-99.61694444,19.15638889
"all",-99.55666667,19.20055556
"all",-99.58472222,19.20555556
"all",-99.53861111,19.25166667
"all",-99.54027778,19.22638889
"all",-99.60083333,19.35444444
"all",-99.58527778,19.34055556
"all",-99.58583333,19.33194444
"all",-99.57361111,19.32666667
"all",-99.73333333,19.49166667
"all",-99.78027778,19.30944444
"all",-99.67027778,19.34416667
"all",-99.46694444,19.21972222
"all",-99.47611111,19.195
"all",-99.56583333,19.20361111
"all",-99.58972222,19.21388889
"all",-99.60472222,19.25111111
"all",-99.57472222,19.15888889
"all",-98.33527778,19.19777778
"all",-98.34722222,19.20666667
"all",-98.86194444,19.23333333
"all",-98.86138889,19.14555556
"all",-98.86944444,19.11805556
"all",-98.79944444,19.20305556
"all",-98.78388889,19.20694444
"all",-98.81111111,19.21611111
"all",-98.86833333,19.24611111
"all",-99.60416667,19.35305556
"all",-99.58222222,19.34111111
"all",-99.67611111,19.34611111
"all",-99.77638889,19.31222222
"all",-99.69083333,19.25638889
"all",-99.48944444,19.28083333
"all",-99.46694444,19.25777778
"all",-99.5675,19.20333333
"all",-99.58583333,19.2025
"all",-99.58666667,19.14611111
"all",-98.4874444444,19.0838888889
"all",-98.8661388889,19.22625
"all",-100.64,19.68
"all",-101.61,19.42
"all",-98.1854166667,19.1594722222
"all",-98.49,19.09
"all",-101.64,19.42
"all",-98.8637222222,19.1397777778
"all",-99.59,19.12
"all",-98.9146111111,19.5025277778
"all",-99.6270555556,19.4074722222
"all",-99.08,19.29
